Team,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16
Alabama,0.48594,0.81,0.4171,0.15,0.6016,0.76,0.97,0.3016,0.196,0.4312,0.2964,0.2387,0.06,0.6052,0.2788,0.2774
Arizona,0.599148,0.9212,0.3589,0.799,0.7315,0.94,0.4636,0.7304,0.94,0.222,0.912,0.2914,0.7728,0.748,0.5628,0.82
Arizona St.,0.42066,0.87,0.0588,0.0378,0.52,0.234,0.0432,0.1656,0.06,0.0105,0.518,0.0325,0.2184,0.1886,0.0722,0.18
Arkansas,0,0.33,0.86621,0.665,0.63,0.819,0.32,0.0559,0.738,0.4186,0.0825,0.5037,0.4662,0.1771,0.3996,0.0864
Auburn,0.644644,0.34,0.567,0,0.476765,0.1638,0.54,0.1098,0.0385,0.4182,0.024,0.1242,0.2077,0.0504,0.2622,0.2
Baylor,0.574182,0.6,0.784,0,0,0.97,0.67,0.4964,0.1404,0.5016,0.581,0.237,0.3608,0.3481,0.3393,0.3808
Boston College,0.571736,0.0424,0.87,0.4836,0.2523,0.2304,0.32,0.004,0.0624,0.0099,0.0108,0.0297,0.063,0.19,0.0186,0.0077
Butler,0.61642,0.5782,0.4998,0.5074,0.51,0.82,0.56,0.2478,0.2886,0.63,0.4233,0.69,0.264,0.8455,0.0765,0.78
California,0.7565,0.34782,0.7392,0.10626,0.96,0.33,0.3276,0.0595,0.7743,0.1176,0.79,0.4402,0.0976,0.53,0.3325,0.1386
Clemson,0.4488,0.95,0.8118,0.87,0.3528,0.2,0.231,0.0768,0.1584,0.0938,0.49,0.1679,0.1156,0.1984,0.185,0.7387
Colorado,0.813006,0.3321,0.5822,0.1862,0,0.6278,0.26,0.0648,0.1938,0.39,0.2604,0.1305,0.7224,0.08,0.55,0.4292
Creighton,0.448115,0.96,0.792,0.6831,0.96,0.74,0.285,0.335,0,0.2952,0.517,0.217,0.81,0.3807,0.1155,0.3741
DePaul,0.36736,0.57,0.0632,0.18,0.6992,0.4275,0.0092,0.1,0.027,0.032,0.06,0.085,0.0152,0.0035,0.0364,0.0253
Duke,0.3318084,0.9212,0.792,0.3348,0,0.7885,0.61,0.8448,0.129,0.81,0.5208,0.414,0.4565,0.243,0.341,0.1944
Florida,0.79534,0.747,0.96,0.3712,0.98,0,0.68,0.8463,0.6552,0.4698,0.7084,0.6499,0.69,0.6888,0.304,0.5808
Florida St.,0.7865676,0.84,0.5694,0.407484,0.93,0.93,0.1725,0.79,0.114,0.335,0.324,0.3619,0.333,0.64,0.47,0.21
Georgetown,0.424764,0.294,0.8036,0.83,0.31,0.8,0.1275,0.1271,0.555,0.144,0.0765,0.3762,0.0371,0.19,0.4089,0.0588
Georgia,0.19968,0.5456,0,0,0.8256,0.2132,0.46,0.3654,0.0378,0.209,0.4278,0.018,0.0875,0.2128,0.2816,0.21
Georgia Tech,0.676575,0.8464,0.126,0.26,0.95,0.4838,0.2376,0.0324,0.28,0.029,0.168,0.0675,0.85,0.1416,0.1386,0.207
Illinois,0.741888,0.0711,0.2291,0.8188,0.42,0.76,0.207,0.3,0.2301,0.0224,0.306,0.1855,0.1924,0.39,0.2808,0.3245
Indiana,0.185472,0,0.291776,0.93,0.49,0.9504,0.287,0.287,0.301,0.3111,0.057,0.1326,0.189,0.29,0.162,0.0765
Iowa,0.461472,0.27,0.1445,0.3264,0.61,0.8232,0.042,0.3807,0.0736,0.55,0.208,0.4125,0.0506,0.61,0.143,0.0852
Iowa St.,0,0.93,0.65,0.627,0.98,0.99,0.81,0.2752,0.2173,0.3465,0.38,0.1352,0.5525,0.3792,0.3355,0.168
Kansas,0.444454,0.8648,0.9212,0.9212,0.79,0.95,0.63,0.7138,0.5616,0.405,0.1024,0.518,0.3835,0.2542,0.629,0.459
Kansas St.,0.874552,0.8924,0.837,0.9114,0.6,0.92,0.78,0.1309,0.1968,0.1092,0.1104,0.1449,0.0656,0.2704,0.285,0.2769
Kentucky,0.74162088,0.9702,0.7161,0.9025,0.52,0.4,0.78,0.7917,0.5859,0.6396,0.4896,0.297,0.679,0.648,0.558,0.6375
Louisville,0.903168,0.85,0.6248,0.9408,0.99,0.6,0.4225,0.3796,0.644,0.43,0.7238,0.89,0.3024,0.5916,0.2816,0.4898
LSU,0.4368,0.06,0.3,0,0.4599,0.045,0.24,0.1485,0.042,0.0162,0.008,0.056,0.0078,0.0176,0.0516,0.064
Marquette,0.158202,0.8648,0.4116,0.3735,0,0.931,0.2925,0.11,0.6188,0.07,0.213,0.4425,0.2444,0.63,0.3486,0.1881
